Scoring Lookup — Option-to-Severity Map (Methodology Section 3),,,,,,
Q Code,Question (abridged),Response Option,Severity Score (0-100),Score Type,Lookup Key (helper),Score (helper)
H01,Is there a functioning health facility (clinic/health center) withi...,Yes,0,Standard,H01|Yes,0
H01,Is there a functioning health facility (clinic/health center) withi...,No,100,Standard,H01|No,100
H01,Is there a functioning health facility (clinic/health center) withi...,Don't know,DK/NA — excluded,Excluded from denominator,H01|Don't know,DK/NA
H02,What is the approximate distance (in km) from the village center to...,Floor=0,0,Numeric-Floor,H02|Floor,0
H02,What is the approximate distance (in km) from the village center to...,Ceiling=10,100,Numeric-Ceiling,H02|Ceiling,100
H03,"During the past 12 months, was the nearest health facility closed o...",Yes,100,Standard,H03|Yes,100
H03,"During the past 12 months, was the nearest health facility closed o...",No,0,Standard,H03|No,0
H03,"During the past 12 months, was the nearest health facility closed o...",Don't know,DK/NA — excluded,Excluded from denominator,H03|Don't know,DK/NA
H04,Does lack of transportation prevent household members from reaching...,Always,100,Standard,H04|Always,100
H04,Does lack of transportation prevent household members from reaching...,Often,70,Standard,H04|Often,70
H04,Does lack of transportation prevent household members from reaching...,Sometimes,35,Standard,H04|Sometimes,35
H04,Does lack of transportation prevent household members from reaching...,Never,0,Standard,H04|Never,0
H05,Among women in this household who were pregnant in the past 2 years...,"Yes, all",0,Standard,"H05|Yes, all",0
H05,Among women in this household who were pregnant in the past 2 years...,Some did,50,Standard,H05|Some did,50
H05,Among women in this household who were pregnant in the past 2 years...,None did,100,Standard,H05|None did,100
H05,Among women in this household who were pregnant in the past 2 years...,Not applicable,DK/NA — excluded,Excluded from denominator,H05|Not applicable,DK/NA
H06,"Was the most recent birth in this household attended by a doctor, n...",Yes,0,Standard,H06|Yes,0
H06,"Was the most recent birth in this household attended by a doctor, n...",No,100,Standard,H06|No,100
H06,"Was the most recent birth in this household attended by a doctor, n...",Not applicable,DK/NA — excluded,Excluded from denominator,H06|Not applicable,DK/NA
H07,Have all children under 5 in this household received their complete...,"Yes, all",0,Standard,"H07|Yes, all",0
H07,Have all children under 5 in this household received their complete...,Partially,50,Standard,H07|Partially,50
H07,Have all children under 5 in this household received their complete...,None,100,Standard,H07|None,100
H07,Have all children under 5 in this household received their complete...,No children under 5,DK/NA — excluded,Excluded from denominator,H07|No children under 5,DK/NA
H08,Are children under 5 in this household regularly weighed and monito...,"Yes, regularly",0,Standard,"H08|Yes, regularly",0
H08,Are children under 5 in this household regularly weighed and monito...,Occasionally,50,Standard,H08|Occasionally,50
H08,Are children under 5 in this household regularly weighed and monito...,Never,100,Standard,H08|Never,100
H08,Are children under 5 in this household regularly weighed and monito...,No children under 5,DK/NA — excluded,Excluded from denominator,H08|No children under 5,DK/NA
H09,Does any member of this household have a diagnosed chronic conditio...,Yes,100,Standard,H09|Yes,100
H09,Does any member of this household have a diagnosed chronic conditio...,No,0,Standard,H09|No,0
H09,Does any member of this household have a diagnosed chronic conditio...,Don't know,DK/NA — excluded,Excluded from denominator,H09|Don't know,DK/NA
H10,"If yes, can this household member access regular follow-up care/med...","Yes, easily",0,Standard,"H10|Yes, easily",0
H10,"If yes, can this household member access regular follow-up care/med...","Yes, with difficulty",50,Standard,"H10|Yes, with difficulty",50
H10,"If yes, can this household member access regular follow-up care/med...",No,100,Standard,H10|No,100
H10,"If yes, can this household member access regular follow-up care/med...",Not applicable,DK/NA — excluded,Excluded from denominator,H10|Not applicable,DK/NA
H11,Do you know where to seek help if someone in your household needed ...,Yes,0,Standard,H11|Yes,0
H11,Do you know where to seek help if someone in your household needed ...,No,100,Standard,H11|No,100
H12,How comfortable would people in this community be seeking mental he...,Very uncomfortable,100,Standard,H12|Very uncomfortable,100
H12,How comfortable would people in this community be seeking mental he...,Uncomfortable,75,Standard,H12|Uncomfortable,75
