Question Bank — Extended with Analytical Metadata (Methodology Section 2),,,,,,,,,,,,,
Q Code,Domain,Sub-Domain,Indicator,KPI,Question,Question Type,Response Scale,Analytical Category,Measurement Mode,Evidence Mode,Dependency,Severity Direction,Notes
H01,Health,Access to Basic Healthcare,Facility Availability,% villages with a functioning primary health facility within 5km,Is there a functioning health facility (clinic/health center) within 5 km of this village?,Single-select,Yes / No / Don't know,Access,Direct,Objective,Unconditional,Higher=Worse,Core access indicator; anchors all downstream health KPIs.
H02,Health,Access to Basic Healthcare,Facility Availability,Average distance to nearest functioning health facility (km),What is the approximate distance (in km) from the village center to the nearest functioning health facility?,Numeric,Open numeric (km),Access,Direct,Objective,Unconditional,Higher=Worse,Distinct from binary access — captures gradient of physical access for GIS mapping.
H03,Health,Access to Basic Healthcare,Service Continuity,% of year the nearest facility is operational (not closed/understaffed),"During the past 12 months, was the nearest health facility closed or unstaffed for more than 2 consecutive weeks at any point?",Single-select,Yes / No / Don't know,Availability,Direct,Objective,Unconditional,Higher=Worse,Captures reliability dimension distinct from existence of facility.
H04,Health,Access to Basic Healthcare,Transport Barrier,% households reporting transport as a barrier to reaching care,Does lack of transportation prevent household members from reaching health services when needed?,Single-select,Always / Often / Sometimes / Never,Access,Direct,Objective,Unconditional,Higher=Worse,Separates access barrier type (transport) from distance — actionable for different interventions.
H05,Health,Maternal & Child Health,Antenatal Care Coverage,% pregnant women receiving ?4 antenatal visits,"Among women in this household who were pregnant in the past 2 years, did they receive at least 4 antenatal check-ups?",Single-select,"Yes, all / Some did / None did / Not applicable",Utilization,Direct,Objective,Unconditional,Higher=Worse,WHO-aligned ANC4 standard; key maternal health KPI.
H06,Health,Maternal & Child Health,Skilled Birth Attendance,% births attended by a skilled health professional,"Was the most recent birth in this household attended by a doctor, nurse, or trained midwife?",Single-select,Yes / No / Not applicable,Utilization,Direct,Objective,Unconditional,Higher=Worse,SDG 3.1 indicator proxy.
H07,Health,Maternal & Child Health,Child Immunization,% children under 5 with complete vaccination schedule,Have all children under 5 in this household received their complete scheduled vaccinations?,Single-select,"Yes, all / Partially / None / No children under 5",Utilization,Direct,Objective,Unconditional,Higher=Worse,Standard EPI coverage proxy.
H08,Health,Maternal & Child Health,Child Growth Monitoring,% children under 5 with regular growth/nutrition monitoring,Are children under 5 in this household regularly weighed and monitored for growth at a health facility?,Single-select,"Yes, regularly / Occasionally / Never / No children under 5",Utilization,Direct,Objective,Unconditional,Higher=Worse,Early warning indicator for malnutrition risk.
H09,Health,Disease Burden,Chronic Disease Prevalence,% households with at least one member with a diagnosed chronic condition,"Does any member of this household have a diagnosed chronic condition (diabetes, hypertension, etc.)?",Single-select,Yes / No / Don't know,Risk,Direct,Objective,Unconditional,Higher=Worse,"Demand-side signal for service planning, not a quality measure."
H10,Health,Disease Burden,Chronic Care Continuity,% chronically ill members able to access regular follow-up care,"If yes, can this household member access regular follow-up care/medication for this condition locally?",Single-select,"Yes, easily / Yes, with difficulty / No / Not applicable",Availability,Direct,Objective,Conditional,Higher=Worse,Conditional follow-up — measures continuity of care gap.
H11,Health,Mental Health,Service Awareness,% households aware of available mental health support channels,Do you know where to seek help if someone in your household needed mental health or psychosocial support?,Single-select,Yes / No,Awareness,Direct,Objective,Unconditional,Higher=Worse,Awareness precedes utilization; foundational indicator.
H12,Health,Mental Health,Perceived Stigma,Level of perceived community stigma toward seeking mental health support,How comfortable would people in this community be seeking mental health support openly?,Likert-5,Very uncomfortable / Uncomfortable / Neutral / Comfortable / Very comfortable,Contextual,Proxy,Perception-based,Unconditional,Higher=Worse,Captures social/cultural barrier distinct from physical access.
H13,Health,Service Quality,Perceived Service Quality,% households rating health service quality as adequate or above,How would you rate the overall quality of health services available to this village?,Likert-5,Very poor / Poor / Fair / Good / Very good,Quality,Proxy,Perception-based,Unconditional,Higher=Worse,Subjective quality complement to objective availability indicators.
H14,Health,Service Quality,Medicine Availability,% households reporting consistent availability of essential medicines,"When you visit the local health facility, are essential/prescribed medicines usually available?",Single-select,Always / Usually / Rarely / Never,Availability,Direct,Objective,Unconditional,Higher=Worse,Supply-chain proxy at point of care.
H15,Health,Service Quality,Affordability,% households reporting health costs as a barrier to seeking care,"Has the cost of healthcare (consultation, medicine, transport) prevented this household from seeking needed care in the past year?",Single-select,"Yes, often / Yes, sometimes / No",Access,Direct,Objective,Unconditional,Higher=Worse,Affordability dimension distinct from physical/geographic access.
H16,Health,Emergency Preparedness,Emergency Response Time,Perceived adequacy of emergency medical response time,"If a medical emergency occurred, how long would it typically take for help (ambulance/transport to facility) to arrive or be reached?",Single-select,Under 30 min / 30–60 min / 1–2 hours / Over 2 hours / No emergency service available,Risk,Direct,Objective,Unconditional,Higher=Worse,Captures a distinct readiness dimension from routine care access.
ED01,Education,Access to Basic Education,School Enrollment,% school-age children (6–15) currently enrolled in school,Are all school-age children (6–15 years) in this household currently enrolled in school?,Single-select,"Yes, all / Some / None / No school-age children",Access,Direct,Objective,Unconditional,Higher=Worse,Core enrollment indicator (SDG 4.1 proxy).
ED02,Education,Access to Basic Education,School Proximity,Average distance to nearest primary school (km),What is the approximate distance from this household to the nearest primary school?,Numeric,Open numeric (km),Access,Direct,Objective,Unconditional,Higher=Worse,Physical access driver for enrollment and dropout.
ED03,Education,Access to Basic Education,Transport Safety,% households reporting safe and reliable transport to school,Do children in this household have safe and reliable transportation to and from school?,Single-select,Yes / Partially / No / Not applicable,Access,Direct,Objective,Unconditional,Higher=Worse,Distinguishes safety/reliability from mere distance.
ED04,Education,Access to Basic Education,Dropout Risk,% households reporting a child who dropped out in the past 2 years,Has any school-age child in this household stopped attending school in the past 2 years?,Single-select,Yes / No,Access,Direct,Objective,Unconditional,Higher=Worse,Direct dropout indicator; pairs with reasons question below.
ED05,Education,Access to Basic Education,Dropout Reasons,Most cited reasons for school dropout,"If yes, what was the main reason for stopping school? (financial / distance / safety / early marriage / work / disability / other)",Single-select,Financial / Distance / Safety / Early marriage / Work / Disability / Academic difficulty / Other,Diagnostic,Direct,Objective,Conditional,Higher=Worse,Root-cause classification — feeds targeted intervention design; only shown if dropout = Yes.
